かも,0,0,1200,かも,助詞,終助詞,*,*,*,*,かも,かも,*,A,*,*,*,*
のか,0,0,1200,のか,助詞,終助詞,*,*,*,*,のか,のか,*,A,*,*,*,*
かな,0,0,1200,かな,助詞,終助詞,*,*,*,*,かな,かな,*,A,*,*,*,*
のかな,0,0,1200,のかな,助詞,終助詞,*,*,*,*,のかな,のかな,*,A,*,*,*,*
かしら,0,0,1200,かしら,助詞,終助詞,*,*,*,*,かしら,かしら,*,A,*,*,*,*
のかしら,0,0,1200,のかしら,助詞,終助詞,*,*,*,*,のかしら,のかしら,*,A,*,*,*,*
のに,0,0,1200,のに,助詞,接続助詞,*,*,*,*,のに,のに,*,A,*,*,*,*
ても,0,0,1200,ても,助詞,接続助詞,*,*,*,*,ても,ても,*,A,*,*,*,*
でも,0,0,1200,でも,助詞,接続助詞,*,*,*,*,でも,でも,*,A,*,*,*,*
とも,0,0,1200,とも,助詞,接続助詞,*,*,*,*,とも,とも,*,A,*,*,*,*
とは,0,0,1200,とは,助詞,格助詞,*,*,*,*,とは,とは,*,A,*,*,*,*
だから,0,0,1200,だから,接続詞,*,*,*,*,*,だから,だから,*,A,*,*,*,*
